Number of coefficients: 441
L: 11 M: 7 C: 0.0000004131
L: 11 M: 8 C: 0.0000015851
L: 11 M: 9 C: -0.0000005159
L: 11 M: 10 C: -0.0000000057
L: 11 M: 11 C: -0.0000002993
L: 12 M: -12 C: -0.0000000006
L: 12 M: -11 C: -0.0000138806
L: 12 M: -10 C: 0.0001023599
L: 12 M: -9 C: -0.0001162901
L: 12 M: -8 C: 0.0000000179
L: 12 M: -7 C: 0.0000073967
L: 12 M: -6 C: 0.0001053363
L: 12 M: -5 C: -0.0000606216
L: 12 M: -4 C: 0.0000000243
L: 12 M: -3 C: -0.0000576790
L: 12 M: -2 C: -0.0000626759
L: 12 M: -1 C: 0.0000667257
L: 12 M: 0 C: -0.0132476995
L: 12 M: 1 C: 0.0000667260
L: 12 M: 2 C: 0.0000001094
L: 12 M: 3 C: 0.0000576758
L: 12 M: 4 C: -0.0099939276
L: 12 M: 5 C: -0.0000606301
L: 12 M: 6 C: 0.0000001202
L: 12 M: 7 C: -0.0000073880
L: 12 M: 8 C: -0.0008536486
L: 12 M: 9 C: -0.0001162595
L: 12 M: 10 C: 0.0000001635
L: 12 M: 11 C: 0.0000138580
L: 12 M: 12 C: -0.0117562022
L: 13 M: -13 C: -0.0000006989
L: 13 M: -12 C: -0.0000000001
L: 13 M: -11 C: -0.0000001744
L: 13 M: -10 C: 0.0000000004
L: 13 M: -9 C: 0.0000000049
L: 13 M: -8 C: -0.0000000000
L: 13 M: -7 C: 0.0000013738
L: 13 M: -6 C: -0.0000000008
L: 13 M: -5 C: -0.0000000999
L: 13 M: -4 C: 0.0000000007
L: 13 M: -3 C: -0.0000005126
L: 13 M: -2 C: 0.0000000014
L: 13 M: -1 C: 0.0000010628
L: 13 M: 0 C: -0.0000001570
L: 13 M: 1 C: 0.0000003565
L: 13 M: 2 C: -0.0000000007
L: 13 M: 3 C: 0.0000016393
L: 13 M: 4 C: -0.0000009636
L: 13 M: 5 C: -0.0000001617
L: 13 M: 6 C: 0.0000000012
L: 13 M: 7 C: -0.0000001668
L: 13 M: 8 C: 0.0000017615
L: 13 M: 9 C: 0.0000002270
L: 13 M: 10 C: -0.0000000139
L: 13 M: 11 C: 0.0000004222
L: 13 M: 12 C: 0.0000009685
L: 13 M: 13 C: -0.0000006824
L: 14 M: -14 C: -0.0000102147
L: 14 M: -13 C: 0.0000449807
L: 14 M: -12 C: 0.0000000075
L: 14 M: -11 C: -0.0000950619
L: 14 M: -10 C: 0.0001297393
L: 14 M: -9 C: -0.0000313882
L: 14 M: -8 C: 0.0000000346
L: 14 M: -7 C: -0.0000849179
L: 14 M: -6 C: -0.0000012422
L: 14 M: -5 C: 0.0000799120
L: 14 M: -4 C: 0.0000000420
L: 14 M: -3 C: 0.0000351523
L: 14 M: -2 C: -0.0001042894
L: 14 M: -1 C: -0.0000297243
L: 14 M: 0 C: 0.0049837851
L: 14 M: 1 C: -0.0000297245
L: 14 M: 2 C: 0.0000001029
L: 14 M: 3 C: -0.0000351479
L: 14 M: 4 C: -0.0051833442
L: 14 M: 5 C: 0.0000799284
L: 14 M: 6 C: 0.0000000521
L: 14 M: 7 C: 0.0000849395
L: 14 M: 8 C: -0.0055631623
L: 14 M: 9 C: -0.0000313877
L: 14 M: 10 C: 0.0000002532
L: 14 M: 11 C: 0.0000950571
L: 14 M: 12 C: -0.0067552752
L: 14 M: 13 C: 0.0000450245
L: 14 M: 14 C: 0.0000003514
L: 15 M: -15 C: -0.0000013528
L: 15 M: -14 C: 0.0000000003
L: 15 M: -13 C: -0.0000002332
L: 15 M: -12 C: -0.0000000001
L: 15 M: -11 C: 0.0000011075
L: 15 M: -10 C: 0.0000000017
L: 15 M: -9 C: -0.0000001836
L: 15 M: -8 C: 0.0000000002
L: 15 M: -7 C: -0.0000004502
L: 15 M: -6 C: -0.0000000016
L: 15 M: -5 C: -0.0000000797
L: 15 M: -4 C: -0.0000000002
L: 15 M: -3 C: 0.0000012400
L: 15 M: -2 C: -0.0000000004
L: 15 M: -1 C: -0.0000004312
L: 15 M: 0 C: 0.0000009647
L: 15 M: 1 C: -0.0000004079
L: 15 M: 2 C: 0.0000000007
L: 15 M: 3 C: -0.0000001565
L: 15 M: 4 C: 0.0000009455
L: 15 M: 5 C: 0.0000002313
L: 15 M: 6 C: -0.0000000018
L: 15 M: 7 C: 0.0000010154
L: 15 M: 8 C: -0.0000011194
L: 15 M: 9 C: 0.0000002460
L: 15 M: 10 C: 0.0000000046
L: 15 M: 11 C: -0.0000003978
L: 15 M: 12 C: 0.0000016686
